,index,job_title,company_name,Excel,Python,R,Java,Scala,C/C++,MATLAB,SAS,SQL/databases,Oracle,SPSS,Stata,Machine Learning,Data Mining/Analytics,NLP,Visualisation,Big Data,AWS Cloud,Probability,Support Vector Machines,Neural Networks,GCP,Jason,xml,Azure,Google Cloud,Mathematics,IBM,Algebra,Statistics,Operations research,DevOps,Git,presentation,management,agile,SDLC,decision making,problem solving,Team building,project_management,leadership,consulting
539,https://ca.linkedin.com/jobs/view/data-scientist-at-leapgrad-2268842712?refId=b3569572-977b-4808-94c6-0c6c76d9c198&position=20&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,LeapGrad,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
540,https://ca.linkedin.com/jobs/view/data-scientist-consultant-toronto-at-capgemini-2273269116?refId=b3569572-977b-4808-94c6-0c6c76d9c198&position=21&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist Consultant - Toronto,Capgemini,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
541,https://ca.linkedin.com/jobs/view/data-scientist-at-amazon-web-services-aws-2207167787?refId=b3569572-977b-4808-94c6-0c6c76d9c198&position=22&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,Amazon Web Services (AWS),0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
542,https://ca.linkedin.com/jobs/view/data-scientist-at-visa-2241516352?refId=e4e4dbc3-6394-4e5f-aaf9-0fcb1a494415&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,Visa,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
543,https://ca.linkedin.com/jobs/view/data-scientist-at-tripstack-2307904397?refId=e4e4dbc3-6394-4e5f-aaf9-0fcb1a494415&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,TripStack,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
544,https://ca.linkedin.com/jobs/view/data-scientist-at-ubisoft-2303906701?refId=e4e4dbc3-6394-4e5f-aaf9-0fcb1a494415&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,Ubisoft,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
545,https://ca.linkedin.com/jobs/view/data-scientist-at-chrysalabs-2274630481?refId=e4e4dbc3-6394-4e5f-aaf9-0fcb1a494415&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,ChrysaLabs,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
546,https://ca.linkedin.com/jobs/view/data-scientist-consultant-toronto-at-capgemini-2273269116?refId=e4e4dbc3-6394-4e5f-aaf9-0fcb1a494415&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Not found,Not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
547,https://ca.linkedin.com/jobs/view/data-scientist-at-loopio-2302736091?refId=e4e4dbc3-6394-4e5f-aaf9-0fcb1a494415&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,Loopio,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
548,https://ca.linkedin.com/jobs/view/data-scientist-at-hatch-2268896530?refId=e4e4dbc3-6394-4e5f-aaf9-0fcb1a494415&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,Hatch,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
549,https://ca.linkedin.com/jobs/view/data-scientist-at-just-energy-2231841953?refId=e4e4dbc3-6394-4e5f-aaf9-0fcb1a494415&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,Just Energy,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
